flight,time,wind_speed,wind_angle,battery_voltage,battery_current,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,route
221,100.4,3.799999952316284,338.0,21.471418380737305,21.70039176940918,-0.0590818871624817,0.0559300607153185,0.0988186813203915,-0.0957411155104637,-0.0234619341790676,-0.1248391270637512,-0.0685714125819504,0.5530546167120338,-9.980701274871826,0.0,0.0,3,H
221,100.5,3.799999952316284,343.0,21.443872451782227,21.12786293029785,-0.0342088759971963,0.0599831358437422,0.1108702830855932,0.1089503839612007,0.0776531845331192,0.0089347651228308,-0.0936798225436359,0.3838112719729543,-9.916166725158694,0.0,0.0,3,H
221,100.61,3.799999952316284,344.0,21.45889663696289,21.45388603210449,-0.0079279873471534,0.0382478811298609,0.1087340490072911,0.1404309570789337,0.0722429007291793,0.1098289191722869,-0.2797265758551657,0.3759003181010485,-9.867402116060257,0.0,0.0,3,H
221,100.8,3.799999952316284,344.0,21.48268699645996,21.37436866760254,-0.0164834136387169,0.0425287940455953,0.1161292343622305,-0.1275758743286132,-0.0436239279806613,0.0111817708238959,-0.124471981935203,0.512057229615748,-9.884920374155048,0.0,0.0,3,H
221,100.9,3.900000095367432,346.0,21.3599853515625,23.50544357299805,0.0112669214224511,0.0475081340887873,0.0957616897238384,0.0171306319534778,-0.0564805530011653,0.1763702183961868,-0.1696667196974158,0.4253687126934528,-9.746278213262556,0.0,0.0,3,H
221,101.1,3.900000095367432,348.0,21.455141067504886,21.97075080871582,0.0148741295474524,0.0497154599028528,0.1125122699030046,0.0886521339416503,-0.0194736775010824,0.1290806084871292,-0.2167315432056784,0.4620933200418949,-9.859927035570143,0.0,0.0,3,H
221,101.3,4.099999904632568,348.0,21.44512367248535,22.352436065673828,0.016836972709075,0.0250961580849258,0.090649668568563,0.0729280635714531,0.1069095209240913,-0.0482151843607425,-0.1967947670817375,0.5737315772473812,-9.679275553822515,0.0,0.0,3,H
221,101.41,4.199999809265137,348.0,21.50897979736328,20.4281063079834,0.0013591929774235,0.0249133822725278,0.0705107261234899,-0.0076624858193099,-0.0100776944309473,-0.0609882548451423,-0.2171079759858548,0.4899976583942771,-9.597010492086412,0.0,0.0,3,H
221,101.5,4.300000190734863,347.0,21.468914031982425,20.968828201293945,0.0061515521972879,0.0354257097972354,0.0100629712873425,-0.1339087784290313,-0.0473417676985263,-0.0149846607819199,-0.1969086416065693,0.3672600702568889,-9.509668877720832,0.0,0.0,3,H
221,101.71,4.300000190734863,349.0,21.4426212310791,21.104007720947266,0.032017243509653,0.0556544615157787,0.020563273757162,0.0408065095543861,0.045439064502716,-0.0781647711992263,-0.2709515314176679,0.5196005032584071,-9.578654327988623,0.0,0.0,3,H
221,101.9,4.099999904632568,349.0,21.522750854492188,19.8635311126709,0.0441556319637503,0.0629111289800416,0.0453505055787206,0.0063427062705159,0.115885816514492,0.0158766470849514,-0.1730056991055608,0.3168495064973831,-9.773140321969986,0.0,0.0,3,H
